Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Full Description
LifeBank,https://www.crunchbase.com/organization/lifebank,"Health Care, Hospital, Medical","Yaba, Lagos, Nigeria",LifeBank is a medical distribution company delivering medical supplies using technology and a distribution network.,"44,017",LifeBank App is an intuitive blood donor database that inspires committed Africans to give blood and save lives in their community. LifeBank Plus is an enterprise marketplace for hospitals and blood banks. The app helps their clients to source for the best blood and blood products that patients need. Their nimble logistics system helps to deliver the products to patients on time and also provides a simple payment systems that works.
Botswana Building Society,https://www.crunchbase.com/organization/botswana-building-society,"Commercial, Financial Services, Management Consulting, Property Insurance","Gaborone, South-East, Botswana",BBS is a financial institution whose principal business is residential and commercial property finance,"44,260",BBS is a financial institution whose principal business is residential and commercial property finance. BBS mission is to provide affordable property finance and attractive investment returns through efficient utilization of resources in the spirit of teamwork for the benefit of our stakeholders. Our vision is to be the premier provider of property finance and attractive investment returns in Botswana.
OnePay,https://www.crunchbase.com/organization/onepay-2751,"FinTech, Payments","Sidi Maarouf, Grand Casablanca, Morocco",OnePay is a fintech startup that operates as a distributor of means of payment and aggregator of payment.,"44,320",OnePay is a fintech startup that operates as a distributor of means of payment and aggregator of payment and value-added services in electronic transactions.
GoBEBA,https://www.crunchbase.com/organization/gobeba,"Delivery, Delivery Service, E-Commerce, Food Delivery, Local, Logistics, Marketplace, Mobile Apps, Transportation, Web Apps","Nairobi, Nairobi Area, Kenya",GoBEBA is an on-demand e-commerce logistics platform operating in emerging Africa markets.,"44,384","GoBEBA is an on-demand e-commerce logistics platform operating in emerging Africa markets. We bring together local merchants, consumers and logistics service providers to enable efficient discovery and ordering of frequently purchased products and services in one platform. This combination delivers an asset-light convenient,  multi-category on-demand ordering service for everyday essentials.  We do this by aggregating demand for merchants through a curated digital marketplace which connects merchants  directly to consumers and logistics service providers in an on-demand basis . GoBeba is an ‘everything’ app’  for a wide range of services including  grocery shopping, food delivery, cargo, and many other on-demand services."
GBarena,https://www.crunchbase.com/organization/gbarena,"Communities, eSports, Gaming, Online Games","Cairo, Al Qahirah, Egypt","GBarena is an online esports platform that combine all esports ecosystem stockholders, with a highly analytical tool.","44,418","GBarena is an online esports platform that serves the ecosystem stakeholders by the combination of a strong network of different esports communities, and a highly analytical tool to provide authentic value for all stakeholders (Publishers, Gamers, Tournament Organizers, Sponsors, Teams, and Media Partners)."
Wella Health,https://www.crunchbase.com/organization/wella-health,"Health Care, Information Technology, InsurTech, Pharmaceutical","Garki, Federal Capital Territory, Nigeria",Wella Health is an operator of a healthcare technology company intended to provide treatments and medicines for malaria.,"44,435",Wellahealth is a startup that has developed a digital triage bot that provides guidance based on Nigeria Centre for Disease Control guidelines and logs responses for follow up by public health as needed.
South African Airways,https://www.crunchbase.com/organization/south-african-airways,"Air Transportation, Transportation, Travel","Johannesburg, NA - South Africa, South Africa",South African Airways is an airline provider that offers flight to and from South Africa and the surrounding area.,"44,552",South African Airways is an airline provider that offers flight to and from South Africa and the surrounding area. 
Quro Medical,https://www.crunchbase.com/organization/quro-medical,"Health Care, Home Health Care, Hospital, Medical","Gauteng, NA - South Africa, South Africa",Quro Medical is an innovative digital health company.,"44,705",Quro Medical is an innovative digital health company pioneering premium hospital-at-home services.
Paymenow Group,https://www.crunchbase.com/organization/paymenow-group,"Financial Services, FinTech","Stellenbosch, NA - South Africa, South Africa",Paymenow Group is an employee benefits platform that offers users early access to earned wages at affordable rates.,"44,878",Employee benefits platform offering users early access to earned wages at affordable rates while focusing on financial wellness and safe and responsible financial inclusion through gamification
Ramani,https://www.crunchbase.com/organization/ramani,"SaaS, Sales Automation, Software","Dar Es Salaam, Dar es Salaam, Tanzania",Ramani is expertise in developing software that helps in tracking and managing the sales operation of any organization in real time.,"44,930","Ramani is an application for salespeople to track their inventory, register their customers and record their sales transactions."
Zilla,https://www.crunchbase.com/organization/zilla-ddc0,"Financial Services, FinTech","Lekki, Lagos, Nigeria",Zilla is an innovative firm that enables Africans to live their best lives today by providing cheap and convenient financial services.,"45,009","Zilla is an innovative firm that enables Africans to live their best lives today by providing cheap and convenient financial services. Founded in 2021 and is based in Lekki, Lagos, Nigeria."
Akili Network,https://www.crunchbase.com/organization/akili-network,"Broadcasting, Children, Digital Media, Education, Media and Entertainment","Nairobi, Nairobi Area, Kenya","Akili Network is a free children’s digital content network, inspires learning, and imagination for kids.","45,030","Akili Network is a free children’s digital content network, inspires learning, and imagination for Kenya’s kids. It was founded in 2012 by Jesse Soleil and Jeff Schon in Kenya. Akili Kids creates a new narrative of the Kenyan TV landscape that focuses on 24/7 children's educational programming.  Akili Network launched Akili Kids on 31 March 2020, and in just 3 months, became the second most-watched TV channel in Kenya."
bitsika,https://www.crunchbase.com/organization/bitsika,"Blockchain, Transaction Processing","Ghana, Ebonyi, Nigeria","bitsika uses blockchain technology to help users receive money instantly, from anyone, anywhere at zero cost.","45,185",Bit Sika helps Africans instantly receive money from anyone on earth at no fees. The app is simple to use. Everyone signs-up to the app via Google account login and gets to set a short username starting with a dollar sign.
Qatar National Bank Alahli,https://www.crunchbase.com/organization/qatar-national-bank-alahli,"Banking, Commercial, Financial Services","Cairo, Al Qahirah, Egypt",Qatar National Bank Alahli is an Egyptian financial organization that offers investment and commercial banking services.,"45,224","Qatar National Bank Alahli is one of the leading financial institutions in Egypt established in April 1978 and ranked as the second-largest private bank in Egypt. Qatar National Bank Alahli provides its services for more than 1,284,417 clients served by  6,723 banking professionals with a network of 231 branches, along with 861 ATMs & 64,147 Point-of-Sale to serve clients nationwide. Further, a distinctive Call center operates round the clock 7 days a week. Qatar National Bank Alahli provides dedicated products in corporate banking, financial advisory, project financing, structured financing, trade financing, cash management, and foreign exchange with its competitive offerings, it has managed to establish a strong bond with its various corporate clientele whether large domestic corporations, subsidiaries of multinational companies, medium caps, as well as SMEs."
Trella,https://www.crunchbase.com/organization/trella,"Marketplace, Shipping, Transportation","Cairo, Al Qahirah, Egypt",Trella is a b2b technology platform and trucking marketplace that connects shippers with carriers in the highly fragmented freight industry,"45,248","Trella is a platform that connects shippers to carriers.  Trella offers services and technology to empower drivers, improve their efficiency, boost their earnings and utilization as well as creating job opportunities.  Trella aims to reduce costs for shippers, introduce a transparent pricing structure and provide them with a more reliable source of carriers. All the while allowing them to track their shipments in real-time as well as report key insights on their transportation trends and performance."
Dove Air,https://www.crunchbase.com/organization/dove-air,Drones,"Cape Town, NA - South Africa, South Africa","Saving lives, from the skies","45,288",Dove air is using advanced technology to empower people to address some of the biggest problems across Africa. We provide reliable and fast service while meeting all the safety standards.
Alpha Direct,https://www.crunchbase.com/organization/alpha-direct,"Financial Services, FinTech, Insurance, InsurTech","Gaborone, South-East, Botswana","Alpha Direct is a risk carrying Insurtech that is focused on using cloud, big data and AI to deliver compelling insurance products.","45,320","Alpha Direct is a Botswana-HQ, Africa-focused risk carrying Insurtech that is focused on using cloud, big data and AI to deliver compelling insurance products for Africa’s growing consumer market.   The insurance sector in Africa is underpenetrated vs most of the World. Given affordability, accessibility and inflexibility, insurance is seen as being a product “that is only available to the rich”.   The company has become the fifth largest short-term insurance underwriter in their home market in under 5 years, and is now focused on regional and continental expansion across Africa as well as entering the long-term insurance market.  The company has a strong stable of intellectual property including software, trademarks and patents.  The company recently won The African Insurance Award for Innovation of the Year, for their insurance in a box product sold through retail outlets (with a cloud-based activation and policy management platform) where they have acquired thousands of customers and are scaling up rapidly.     Over the next 5 years Alpha Direct plans to expand its product offering to include long-term insurance products as well to expand its footprint to include South Africa, Kenya, Egypt and Nigeria.  Alpha Direct plans to license its products and technology in 10 African countries outside those where it has a physical presence."
Kalicomfort S.A.S,https://www.crunchbase.com/organization/kalicomfort-s-a-s,"Blockchain, Financial Services, FinTech, Information Technology","Yaoundé, Centre, Cameroon","Kalicomfort is a DeFi hedge fund, an asset management and technology company.","45,338","Kalicomfort corporation is the 1st crypto hedge fund of sub-sahara Africa. As Financial service provider, they are among the piooner of DeFi-mass adoption on Africa continent through synthetic fiat like jXAF and $KFT Token, a reference channel for cross-border payment on blockchain for the AfCFTA. The aim is to bring a revolutionize way of managing asset and investing in Africa. Here For investment in Bitcoin: 1MqDN4eRPEqirJhjhMZgTcVWAu6RK2JbnQ"
Union Bank of Nigeria,https://www.crunchbase.com/organization/union-bank-of-nigeria,"Banking, Financial Services, Personal Finance","Lagos, Lagos, Nigeria","Union Bank offers a full suite of banking products and services that include business banking, personal banking, treasury services.","45,353","Union Bank of Nigeria Plc. is a retail and commercial bank with its headquarters located in the central business district of Lagos, Nigeria."
Rooomxix,https://www.crunchbase.com/organization/rooomxix,Fashion,"Lagos, Lagos, Nigeria",Rooomxix is an urban streetwear fashion brand.,"45,374",Rooomxix is an urban streetwear fashion brand.
Mazzuma,https://www.crunchbase.com/organization/mazzuma,"Artificial Intelligence, Blockchain, Emerging Markets, Mobile Payments, Transaction Processing","Accra, Greater Accra, Ghana","Mazzuma is a mobile payment ecosystem that implements mobile money, blockchain and artificial intelligence for payment transactions.","45,382",Mazzuma is an international remittance and mobile money platform.
Micromoney International,https://www.crunchbase.com/organization/micromoney-empire,"Bitcoin, Credit Bureau, Financial Services, FinTech, Identity Management, Lending","Mahé, Beau Vallon, Seychelles",We provide a multi-purpose digital identity and opportunities to build creditworthiness and reputation for 2.5 bln unbanked people.,"45,509","MicroMoney for People & BigData for business: To Bring 2.500.000.000 bring unbanked & un(der)served people to the New World Global Decentralized Crypto Economy:  === Did You know ? - more than 2.5 billion people in the world using only cash, suffers and struggle for their life without any access to modern banking services. To take out a loan for them is a huge challenge, because they do not have any credit histories ... AND situation is NOT GETTING ANY EASIER  We, adepts of decentralized wolrd global econymy, found a solution! Micromoney is Open Source Credit&BigData Bureau on Blockchain with Risk Scoring by AI of Decentralized Neural Networks Unstoppable organization: We provide a multi-purpose digital identity and opportunities to build creditworthiness and reputation for 2.5 bln un(der)banked and untapped people, without borders or intermediaries"
Yalelo,https://www.crunchbase.com/organization/yalelo,"Aquaculture, Social Impact","Lusaka, NA - Zambia, Zambia",Yalelo is a  pioneer of aquaculture in Zambia.,"45,557","Yalelo is a pioneer of aquaculture in Zambia, bringing together local resources and world-leading practices. We implement a scalable solution to ease the pressure on Zambia’s struggling wild-capture fisheries sector. Founded in 2011, we have grown quickly to become the leading fisheries firm in Zambia and among the largest aquaculture firms in Africa. We breed and grow our tilapia on the shores of Lake Kariba and sell our product fresh nation-wide. Our pristine water, locally produced non-GMO fish feed and a robust cold-chain results in a product quality and affordability that is transforming the customer experience."
Sea Monster,https://www.crunchbase.com/organization/sea-monster,"Animation, Art, Digital Entertainment, EdTech, Gamification","Cape Town, NA - South Africa, South Africa","Sea Monster creates digital content and experiences using animation, games, and augmented reality.","45,768","Sea Monster creates digital content and experiences using animation, games, and augmented reality. Its aim is to build brands, drive learning and communication outcomes, and to entertain. Its team is comprised of 2D animators, game specialists, and augmented reality developers. Sea Monster was launched in 2011 and is based in Cape Town, South Africa."
dreevo,https://www.crunchbase.com/organization/dreevo,"E-Commerce, Logistics","Cairo, Al Qahirah, Egypt","Dreevo is an empowering e-commerce platform with reliable, affordable, and technological logistics solutions.","45,956","Dreevo aims to empower the e-commerce entrepreneurs to grow their businesses by providing reliable, affordable, and technological logistics solutions that fit their different business models."
East Africa Fruits,https://www.crunchbase.com/organization/east-africa-fruits,"Agriculture, Food Delivery, Fruit, Health Care, Wellness, Wholesale","Dar Es Salaam, Dar es Salaam, Tanzania",East Africa Fruits is a distributor of fresh fruits obtained from local farms to B2B buyers.,"46,056","EA Fruits Farm is a business that engages in the large production and distribution of fruits and vegetables. As fruits are an essential part of a human's diet for maintenance of good health and wellbeing, the business will take part in providing the opportunity for Tanzanian citizens and other people overseas to get such fruits and motivate more people to increase their intake of fruits whereby the company will strive to increase the supply to match the increased demand for fresh fruits and vegetables. The business envisions to be among the leading producers, distributors, and exporters of the fruits within the Country and overseas. The company is a highly profitable and viable business that expects to rise to about 5,000 USD from its current small-scaled operations, while more than 450,000 USD will be raised as a result of further expansion within a period of 2-4 years."
Centbee,https://www.crunchbase.com/organization/centbee,"Financial Services, Mobile Apps, Payments","Gauteng, NA - South Africa, South Africa",Centbee is a digital payments company that uses blockchain technology to enable people to move money easily and cheaply.,"46,226","Centbee is a B2C payment company providing cross-border remittances and digital wallet. Founded in 2017, we provide an easy-to-use app that enables financially excluded customers to buy a wide range of important digital goods; and send money to family and friends quickly and cheaply."
Lentera Africa,https://www.crunchbase.com/organization/lantera,"Agriculture, AgTech, Computer Vision, Farming, Mobile Apps","Kiambu, Central, Kenya",Lentera is an AgriTech company enabling farmers increase yield and get access to high value markets for their produce,"46,233","Lentera provides farmers with a high value market for their produce for local and export value chains. Lentera combines satellite based demand planning with a mobile based platform for farm produce aggregation. Lentera's data is used by farmers, agribusinesses, banks and insurance companies for better demand planning and sourcing strategies."
Mobii Systems,https://www.crunchbase.com/organization/mobii-systems,"Hardware, Software, Video Streaming","Cape Town, NA - South Africa, South Africa",Mobii Systems is a technology startup.,"46,269","Mobii is a team of highly skilled developers that enjoy building new technologies, combining hardware and software. They are based in Cape Town and their team have backgrounds in Military Electronics, Mechatronics and Thermo-dynamic engineering, Software Development and Business Science"
Comsol Networks,https://www.crunchbase.com/organization/comsol-networks,"Electronics, Information Services, Information Technology, Internet, Telecommunications, Wireless","Gauteng, NA - South Africa, South Africa","Comsol Networks enables the channel to answer the demand for high speed, reliable carrier grade access solutions.","46,304","Comsol is South Africa's premier layer 2 open access solution partner, enabling major Telcos, Carriers and Service Providers  to answer the demand for high speed, reliable carrier grade access solutions. Comsol understands the need for choice, offering the freedom to choose, without compromising on quality and dependability.  Comsol offers South Africa's first medium agnostic, enterprise grade, Layer 2, open access network, delivering guaranteed, dedicated, high speed carrier grade solutions to over 200 South African metropolitan areas and towns, creating a business grade foundation for people to connect, anywhere, any time. Together with Comsol's partners, Comsol is committed to enabling limitless connectivity for South Africa and beyond."
The Quantum Group,https://www.crunchbase.com/organization/the-quantum-group-79db,Logistics,"Ghana, Ebonyi, Nigeria","The Quantum Group, a company based in Ghana with vertically-integrated operations in the transportation and logistics.","46,535","The Quantum Group, a company based in Ghana with vertically-integrated operations in the transportation and logistics of refined petroleum products."
TechAdvance,https://www.crunchbase.com/organization/techadvance,,"Lagos, Lagos, Nigeria",TechAdvance is a payment application development firm,"46,637",
Buupass,https://www.crunchbase.com/organization/buupass,"Public Transportation, Reservations, Travel","Nairobi, Nairobi Area, Kenya",BuuPass is Kenya's market leader for online bus booking.,"46,646","BuuPass aims to provide seamless movement for people. They work with operators to provide digital transport solutions to facilitate convenient movement for commuters. BuuPass is Kenya's first marketplace for bus, shuttle, and train bookings; it's the fastest, easiest way to book. BuuPass is driven by young entrepreneurs who are passionate about solving real everyday problems by making simple and powerful solutions.  They envision a world where people can travel on their terms, be connected to opportunities, and live a life without borders. They provide simple transport solutions to help people get from Point A to Point B. BuuPass believes everyone’s time is valuable. When it comes to booking tickets they believe you should be able to reserve your seat and make payments with convenience. They strongly believe you should have the right to choose what works best for you in regards to your time and money. They offer digital solutions for bus booking."
NSIA Bank,https://www.crunchbase.com/organization/nsia-bank,"Banking, Finance, Financial Services","Abidjan, Lagunes, Côte d'Ivoire","NSIA Bank is a banking institution that provides services like saving and investment solutions, account opening, credit facility and more.","46,813",
Fintold.,https://www.crunchbase.com/organization/paysupp,"Financial Services, FinTech, SaaS","Cairo, Al Qahirah, Egypt","Online Marketplace that connects nbfs, banks and businesses of all sizes and specialties in Egypt to digitally transform their business","47,013","Our SaaS platform offers non-bank financial services, banks and businesses a unique opportunity to trade among each other via our specialized financial services that NBFIs can sign up for free to our platform and start financing businesses via the platform and through banks that are connected to the platform."
Atlan Space,https://www.crunchbase.com/organization/atlan-space,"Artificial Intelligence, Drones, Machine Learning, Robotics","Rabat, Rabat-Sale-Zemmour-Zaer, Morocco","Building Artificial Intelligence to autonomously pilot any fixed wing drone, to monitor and take measures over very large areas","47,100",
Nuru,https://www.crunchbase.com/organization/nuru,"Energy, Solar","Goma, Nord-Kivu, Congo, Democratic Republic of",Nuru is a renewable and environment company that specializes in the fields of storage micro-grids and solar energy.,"47,139","Nuru is a solar hybrid site. Nuru (Swahili for ""light"") is a company dedicated to enhancing connectivity in the Democratic Republic of Congo. Nuru deployed Congo's first solar-based mini-grid in 2017 and is currently constructing a 1.3MW solar hybrid site in Goma, the largest off-grid mini-grid in sub-Saharan Africa. Nuru is a renewable and environment company that specializes in the fields of storage micro-grids and solar energy. The company deployed Congo's first solar-based mini-grid in 2017 and is currently constructing a 1.3MW solar hybrid site in Goma. Nuru was founded in 2015 and headquartered in Goma, Nord-Kivu, Congo."
Suplias,https://www.crunchbase.com/organization/suplias,"E-Commerce, Mobile Apps, Retail","Lagos, Lagos, Nigeria",Suplias is an application that connects retail outlets to consumer goods manufacturers.,"47,140","Suplias is an application that connects retail outlets to consumer goods manufacturers. The company was founded in 2020 and is headquartered in Opebi, Lagos."
CHIL AI Lab,https://www.crunchbase.com/organization/chil-ai-lab,"Artificial Intelligence, Health Diagnostics, Machine Learning","Mulago, Kampala, Uganda",Chil AI Lab offers artificial intelligence technology to improve on the access of reproductive health cancer diagnosis.,"47,148","Chil AI Lab offers artificial intelligence technology to improve on the access of reproductive health cancer diagnosis. Their services are e-consultation, e-medical records, e-referral, auto lab results, and e-pharmacy."
HyperionDev,https://www.crunchbase.com/organization/hyperiondev,"EdTech, Education","Cape Town, NA - South Africa, South Africa",An online coding bootcamp,"47,350","HyperionDev is one of the largest online coding bootcamps out there. It was founded in 2012, as a small grassroots movement of Computer Science students working towards a single goal: to build and deliver better technical education for anyone who wanted to learn digital literacy and programming skills. Today, we're backed by Facebook & Google and serve over 150,000 registered students in over 35 countries."
Brimore,https://www.crunchbase.com/organization/brimore,"E-Commerce, Retail Technology, Social Entrepreneurship, Social Shopping","Cairo, Al Qahirah, Egypt",Brimore is a social commerce platform that leverages a large network of associated freelance community distributors.,"47,471",Brimore is a social commerce platform that leverages a large network of associated freelance community distributors.
TemTem,https://www.crunchbase.com/organization/tem-tem,"Internet, Mobile Apps, Taxi Service","Algiers, Alger, Algeria",TemTem is a ride-hailing  company.,"47,505",TemTem’s ride-hailing services are currently available in Algerian capital Algeirs and the coastal city Oran that is second largest of the country in terms of population.
The Baobab Network,https://www.crunchbase.com/organization/the-baobab-network,"Banking, Consulting, Crowdfunding, Financial Services, Impact Investing, Information Technology, Location Based Services","Nairobi, Nairobi Area, Kenya",The Baobab Network is a tech accelerator that backs early stage ventures in Africa.,"47,554","The Baobab Network is the fastest growing start-up accelerator in Africa. Focused on early stage technology ventures across the African continent, The Baobab Network offers companies funding, support and a platform for growth, in exchange for equity. Based in Nairobi, The Baobab Network also has a data and analytics platform, Baobab Insights, which offers funds, corporates and governments around the world better data and research on the digital space in Africa."
Akelni,https://www.crunchbase.com/organization/akelni,"Consumer Applications, Delivery, Food and Beverage, Food Delivery, Internet","Cairo, Al Qahirah, Egypt","Akelni is a service offers online food delivery, so that you can order from your favorite restaurants and experience new restaurants as well","47,592","Akelni is a service offers you ordering food online, so that you can order from your favourite restaurants and experience new restaurants as well. You will be able to order food via the mobile application or by visiting our website, where you can find all restaurants that offer food delivery service. With Akelni you will be serviced easily without troubles such as saving restaurants’ numbers, waiting on hold, encountering busy restaurants’ lines, getting your data recorded every time you order from a different restaurant, or possible errors that may occur while restaurants’ employees take orders or record clients’ data due to high pressure or poor network coverage."
Xente,https://www.crunchbase.com/organization/xente,"Finance, Financial Services, Payments","Kampala, Kampala, Uganda",Corporate cards and payments platform,"47,648",Xente offers smart Visa cards & payment solutions that simplify finance and admin for companies operating in Africa.
PrepClass,https://www.crunchbase.com/organization/prepclass,"E-Learning, EdTech, Education","Lagos, Lagos, Nigeria",Prepclass is an academic solutions provider offering a customized learning program for each and every student.,"47,713",Prepclass is an academic solutions provider offering a customized learning program for each and every student. We have learning programs to fit any family's needs and preferences - whether it's in-home tutoring or online test prep. Our current product Prepclass.com.ng is an online platform that contains a huge plethora of past question material that allows students practice online and understand there areas of strength and weaknesses. For parents that want a more personalized experience for their kids can also request for a personal Prepclass tutor from our huge database of more than 1500 tutors (as at time of writing this)
Pravica,https://www.crunchbase.com/organization/pravica,"Blockchain, Information Services, Software","Cairo, Al Qahirah, Egypt",Pravica has created one of the world’s first truly private and secure communication platforms.,"47,715",Pravica is a unified secure digital communication suite that meets web3.0 standards and uses Blockchain technology to empower user privacy and security. Pravica is reinventing digital communications by empowering organizations and individuals to create their own cryptographically sealed identities and store their own data without third party retention of data. Tamper-proof identities keys are secured on the Bitcoin network and users control their own cloud-based storage of data without retention by Pravica or any other 3rd party.
Mobius Motors,https://www.crunchbase.com/organization/mobius-motors,"Automotive, Manufacturing, Product Design","Nairobi, Nairobi Area, Kenya",Mobius Motors sells affordable vehicles designed specifically for the needs of developing world consumers.,"47,728","Mobius Motors sells affordable vehicles designed specifically for the needs of developing world consumers. We aim to change millions of lives by providing the appropriate transport to mobilise rural Africa. Our vision is a more connected, more prosperous Africa."
Fakahany,https://www.crunchbase.com/organization/fakahany,Food and Beverage,"Cairo, Al Qahirah, Egypt",Fakahany is a farm-to-door base.,"47,769",Fakahany is provides daily needs of fresh quality fruits and vegetables.
Skye Wallet,https://www.crunchbase.com/organization/skye-wallet,"Apps, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Mobile Apps, Web Development","Lagos, Lagos, Nigeria","Africa's Simplest Cryptocurrency Wallet & Exchange App (Mobile & Web). Buy, Sell, Receive, Send, Hodl, Swap & Spend Cryptocurrency in minute","47,915","Africa’s Simplest Cryptocurrency Wallet & Exchange App (Mobile & Web): Launched on the 12th of April 2021, transacted N500M+ ($1M)+ volume in the first 16 weeks of launch and figure keeps growing. Access to over 10 top Cryptocurrency (Coins/Tokens) and have infrastructure to integrate up to 100 more tokens in few months."
Stears,https://www.crunchbase.com/organization/stears,"Analytics, Data Integration, Digital Media, Information Services, Information Technology","Lagos, Lagos, Nigeria","Stears is a digital information company which makes it easy for anyone, anywhere in the world, to access high quality information on Africa.","47,938","Stears is a digital information company based in Lagos. Stears was built to help individuals, development organisations, investors, governments and companies cost-effectively access high-quality information on Africa from anywhere in the world Stears Data is the data collection, analytics and data access division of Stears. Stears also owns one of Africa’s most analytical business publications - Stears Business."
Sidai Africa,https://www.crunchbase.com/organization/sidai-africa,"Delivery Service, Livestock","Nairobi, Nairobi Area, Kenya",Sidai Africa is a fully vertically-integrated company supplying quality livestock and crop inputs and training to farmer.,"47,994","Sidai is a fully vertically-integrated company supplying quality livestock and crop inputs and training to farmers and pastoralists across Kenya. The company operates through a network of branded, professionally-staffed, company-managed and franchised retail outlets, stockists and field staff. Sidai has a unique ‘last-mile’ service delivery model that also reaches pastoralists and farmers in remote and under-served locations."
Zedny,https://www.crunchbase.com/organization/zedny,"E-Learning, EdTech, Software","Cairo, Al Qahirah, Egypt","L&D Platform  for Courses, Animated Book Summaries & Learning Paths in Arabic","48,136","Zedny is an Arabic learning and development platform using machine learning and gamification to empower human capital to reach their full potential in the job market. The AI-powered platform uses online courses and animated video summaries of global business bestsellers to set employees, managers and individuals on a designated career learning path. These paths tackle behavioral, social and business knowledge, as well as office and digital tools to expand the individual’s horizons."
PesaKit,https://www.crunchbase.com/organization/pesakit,"Artificial Intelligence, Financial Services, FinTech, Software","Nairobi, Nairobi Area, Kenya",PesaKit is an Artificial Intelligence (AI) powered virtual assistant for mobile money agents.,"48,355","PesaKit is an Artificial Intelligence (AI) powered virtual assistant for mobile money agents. It is a provider of a software application designed to digitize distribution and access channels for mobile money and digital finance. Its software offers an artificial intelligence-based API driven interface which performs as a virtual assistant for mobile money agents that enables users to manage liquidity and conversion process easily. PesaKit was established in 2018 and is headquartered in Nairobi, Kenya."
Untap,https://www.crunchbase.com/organization/untap-d075,"Cloud Computing, Crowdsourcing, Enterprise Software, Innovation Management, SaaS, Software","Gîza, Al Jizah, Egypt","Untap is a submission management system that is used by organizations to easily plan, launch and manage online prize-based competitions.","48,481","Untap is a submission management system that is used by organizations to easily plan, launch and manage online prize-based competitions and calls for applications. It streamlines the process of receiving and managing submissions, engaging with applicants and judges, evaluating entries, running multiple rounds of submission, and generating an in-depth analysis. Untap enables companies, grant providers, universities, educational institutions, and accelerators to discover talent and ideas."
QuickBus,https://www.crunchbase.com/organization/quickbus-6d2d,"E-Commerce, Information Technology, Transportation","Nairobi, Nairobi Area, Kenya",QuickBus operates as an online marketplace ticketing system.,"49,277",QuickBus operates as an online marketplace ticketing system. QuickBus allows users to see reviews for different buses in Africa and book their seats online through its mobile application.
ASUSU,https://www.crunchbase.com/organization/asusu,"Communities, Crowdfunding, Financial Services, SaaS, Software","Abuja, Federal Capital Territory, Nigeria",ASUSU is a SaaS sompany that offers a software management solution digitizing the village savings and loan system known as a cooperative.,"49,336","ASUSU is digitizing the African informal and semi-formal microfinance activities within low income and daily earners. We provide software that aids the operation of microfinance activities so as to extend financial services to members of such organizations especially in rural communities and communities with limited or unavailable financial services. example of such groups include traders, mechanics, taxi drivers, and low-income earners."
Peach Payments,https://www.crunchbase.com/organization/peach-payments,"E-Commerce, Emerging Markets, Mobile Payments, Payments","Cape Town, NA - South Africa, South Africa",Peach Payments provides payment solutions to online and mobile businesses.,"49,349",Peach Payments provides payment solutions to online and mobile businesses enabling them to easily accept payments from consumers across the globe and especially from those in the emerging markets. Our specific focus is on Africa and the BRIC countries where the local infrastructure requires a unique and tailored approach to online payments.
Praxilabs,https://www.crunchbase.com/organization/praxilabs,"3D Technology, Content Creators, EdTech, Education, Simulation, Virtual Reality","Cairo, Al Qahirah, Egypt",PraxiLabs is an e-learning company that developed a product that makes virtual science labs accessible.,"49,358","PraxiLabs is an e-learning company that developed a product that makes virtual science labs accessible. The company aims to provide equal opportunity for enhanced STEM education for students everywhere by providing 3D interactive virtual simulations that are accessible, usable, and affordable for educational institutions and students. PraxiLabs was founded in 2016 and headquartered in Al Qahirah, Egypt."
Beloxxi,https://www.crunchbase.com/organization/beloxxi,"Consumer Goods, Food and Beverage, Manufacturing, Snack Food","Agbara, Ogun, Nigeria",Beloxxi is a Nigerian distributer and importer of branded biscuits from an international source.,"49,593",Beloxxi biscuits are produced under a hygienic and efficient production process environment. We are committed to enhancing consumer satisfaction with quality products that meet global standards. We use the best raw materials in our production process and also ensure that our products are affordable while maintaining quality standards. We strive relentlessly to be the best in every aspect of our business and also appreciate the value of continuous improvement.
AfricaSokoni,https://www.crunchbase.com/organization/africasokoni,"Consumer, E-Commerce, Internet, Marketplace, PaaS, Retail","Nairobi, Nairobi Area, Kenya",A trusted platform empowering players in the African informal sector by enabling them access a wider market; digitize the supply chain...,"49,660",AfricaSokoni is a trusted platform committed to empowering players in the African informal sector by enabling them transition from selling within their locality to selling to the world; digitize their supply chain; help them finance their activities and help build their online presence.
She Leads Africa,https://www.crunchbase.com/organization/she-leads-africa,"Event Promotion, Marketing, Professional Services","Lagos, Lagos, Nigeria",She Leads Africa is a community that helps young African women achieve their professional dreams.,"49,823","She Leads Africa is a community that helps young African women achieve their professional dreams. With engaging online content and pan-African events, our vision is to become the #1 destination for smart and ambitious young women."
Flux,https://www.crunchbase.com/organization/flux-6522,"Apps, FinTech, Payments","Yaba, Lagos, Nigeria","Flux is a mobile app that lets you send money, receive money, make and accept payments across Africa.","49,840","Flux is a mobile app that lets you send money, receive money, make and accept payments across Africa."
